TimeStamp,X-Axis,Y-Axis,Z-Axis,Class
1620137409.954,-6.991,-2.126,1.245,1
1620137409.968,-6.818,-1.953,1.398,1
1620137409.978,-6.723,-1.398,1.283,1
1620137409.985,-6.359,-0.957,1.149,1
1620137409.996,-5.976,-0.708,1.034,1
1620137410.004,-5.707,-0.421,0.919,1
1620137410.014,-5.497,-0.229,0.861,1
1620137410.023,-5.439,-0.134,1.072,1
1620137410.034,-5.593,0.249,1.494,1
1620137410.045,-5.688,1.034,1.704,1
1620137410.054,-5.554,1.57,1.8,1
1620137410.065,-5.382,1.417,1.743,1
1620137410.074,-5.056,0.9,1.532,1
1620137410.084,-4.673,0.555,1.11,1
1620137410.095,-4.616,0.249,0.9,1
1620137410.104,-5.133,0.057,0.574,1
1620137410.115,-6.263,0.383,0.306,1
1620137410.125,-7.795,1.053,0.287,1
1620137410.135,-9.098,1.608,0.44,1
1620137410.146,-9.826,1.57,1.034,1
1620137410.155,-9.557,1.072,1.283,1
1620137410.165,-8.619,0.459,0.957,1
1620137410.176,-7.604,-0.076,0.498,1
1620137410.184,-6.78,-0.134,0.095,1
1620137410.195,-6.435,0.574,-0.21,1
1620137410.204,-6.378,1.8,-0.996,1
1620137410.215,-6.665,2.47,-1.628,1
1620137410.225,-6.914,2.509,-1.704,1
1620137410.235,-7.106,1.915,-1.11,1
1620137410.245,-7.412,1.225,-0.804,1
1620137410.256,-7.719,2.451,0.114,1
1620137410.267,-7.929,4.635,0.478,1
1620137410.276,-7.91,6.167,0.421,1
1620137410.286,-7.661,6.454,0.134,1
1620137410.297,-7.47,6.569,0.555,1
1620137410.307,-7.125,5.861,1.819,1
1620137410.315,-7.106,4.156,3.83,1
1620137410.325,-7.125,2.815,4.118,1
1620137410.335,-6.359,2.145,3.505,1
1620137410.345,-5.631,1.915,2.834,1
1620137410.356,-5.439,1.494,2.068,1
1620137410.364,-5.516,1.494,1.283,1
1620137410.375,-5.497,1.245,1.034,1
1620137410.384,-4.999,0.708,0.957,1
1620137410.394,-4.118,-0.44,1.206,1
1620137410.406,-3.294,-1.455,1.723,1
1620137410.415,-2.03,-2.068,1.781,1
1620137410.426,-0.881,-2.432,1.743,1
1620137410.436,0.095,-1.877,1.436,1
1620137410.444,1.091,-1.666,1.245,1
1620137410.455,2.068,-2.509,1.608,1
1620137410.464,3.696,-4.616,-0.919,1
1620137410.476,2.873,-14.997,-4.482,1
1620137410.485,-14.059,-39.208,35.55,1
1620137410.495,-31.93,-20.782,34.439,1
1620137410.504,-23.004,1.819,15.821,1
1620137410.514,-20.246,-1.8,22.716,1
1620137410.526,-19.652,-15.61,26.816,1
1620137410.534,-24.172,-33.022,32.236,1
1620137410.545,-33.711,-34.63,39.208,1
1620137410.555,-39.228,-23.483,38.902,1
1620137410.564,-39.228,-15.534,27.352,1
1620137410.575,-39.113,-14.882,16.434,1
1620137410.585,-37.599,-23.1,14.614,1
1620137410.596,-10.688,-13.503,-14.557,1
1620137410.604,10.86,21.222,-33.749,1
1620137410.615,9.462,39.036,-39.228,1
1620137410.624,7.508,34.267,-21.28,1
1620137410.635,15.783,33.922,31.815,1
1620137410.646,0.804,-16.223,39.208,1
1620137410.655,19.843,-39.208,34.707,1
1620137410.664,29.44,-28.903,14.518,1
1620137410.674,1.11,10.994,-7.202,1
1620137410.686,-8.715,36.623,-6.34,1
1620137410.694,-4.424,27.026,8.159,1
1620137410.706,2.643,1.034,10.132,1
1620137410.715,9.04,-6.32,8.083,1
1620137410.726,15.859,-8.274,9.5,1
1620137410.735,18.732,-6.071,9.174,1
1620137410.747,16.376,-2.011,10.343,1
1620137410.756,14.48,-5.133,10.649,1
1620137410.765,10.611,-15.438,4.328,1
1620137410.775,5.19,-24.268,1.589,1
1620137410.785,1.302,-20.724,0.536,1
1620137410.797,-1.628,-11.186,3.715,1
1620137410.806,-3.486,-4.348,7.872,1
1620137410.815,-4.903,-0.785,8.753,1
1620137410.826,-4.233,-0.076,8.351,1
1620137410.835,-2.47,-1.532,8.159,1
1620137410.846,-1.723,-3.505,7.163,1
1620137410.855,0.21,-5.937,5.305,1
1620137410.866,3.102,-8.81,3.639,1
1620137410.877,4.462,-10.86,2.279,1
1620137410.886,2.47,-12.718,0.766,1
1620137410.895,0.287,-12.335,0.191,1
1620137410.906,-0.421,-9.864,0.9,1
1620137410.916,-1.551,-7.489,2.279,1
1620137410.926,-3.409,-4.826,4.386,1
1620137410.936,-3.217,-2.681,5.669,1
1620137410.946,-0.555,-1.608,6.665,1
