TimeStamp,X-Axis,Y-Axis,Z-Axis,Class
1620136868.975,-9.155,-5.382,1.992,1
1620136868.985,-8.657,-5.19,1.743,1
1620136868.994,-8.236,-4.922,1.398,1
1620136869.006,-7.929,-4.673,0.996,1
1620136869.016,-7.949,-4.462,0.766,1
1620136869.027,-8.159,-4.252,0.632,1
1620136869.037,-8.466,-4.022,0.536,1
1620136869.045,-8.696,-3.83,0.498,1
1620136869.055,-8.81,-3.773,0.421,1
1620136869.064,-8.83,-3.735,0.325,1
1620136869.076,-8.868,-3.773,0.249,1
1620136869.084,-9.079,-3.888,0.095,1
1620136869.094,-9.404,-4.003,-0.057,1
1620136869.106,-9.845,-4.06,-0.229,1
1620136869.115,-10.209,-3.984,-0.402,1
1620136869.125,-10.305,-3.869,-0.574,1
1620136869.135,-10.132,-3.792,-0.785,1
1620136869.144,-9.672,-3.696,-0.938,1
1620136869.156,-9.136,-3.639,-1.168,1
1620136869.165,-8.696,-3.581,-1.321,1
1620136869.176,-8.504,-3.562,-1.417,1
1620136869.186,-8.561,-3.543,-1.57,1
1620136869.195,-8.81,-3.543,-1.723,1
1620136869.205,-9.174,-3.486,-1.857,1
1620136869.215,-9.404,-3.352,-1.953,1
1620136869.226,-9.481,-3.256,-2.03,1
1620136869.235,-9.366,-3.198,-2.03,1
1620136869.245,-9.079,-3.16,-2.049,1
1620136869.255,-8.696,-3.179,-2.03,1
1620136869.266,-8.332,-3.256,-2.03,1
1620136869.275,-8.063,-3.371,-2.087,1
1620136869.285,-7.987,-3.466,-2.087,1
1620136869.294,-8.044,-3.505,-1.992,1
1620136869.305,-8.14,-3.524,-1.877,1
1620136869.314,-8.236,-3.581,-1.743,1
1620136869.325,-8.274,-3.62,-1.647,1
1620136869.334,-8.37,-3.62,-1.647,1
1620136869.345,-8.523,-3.601,-1.685,1
1620136869.356,-8.715,-3.543,-1.589,1
1620136869.366,-8.925,-3.428,-1.474,1
1620136869.375,-8.906,-3.237,-1.455,1
1620136869.385,-8.772,-3.217,-1.359,1
1620136869.395,-8.581,-3.409,-1.206,1
1620136869.404,-8.427,-3.677,-1.053,1
1620136869.415,-8.37,-3.888,-0.804,1
1620136869.427,-8.408,-4.041,-0.517,1
1620136869.436,-8.37,-4.079,-0.114,1
1620136869.445,-8.159,-4.022,0.249,1
1620136869.455,-7.853,-4.003,0.44,1
1620136869.466,-7.47,-4.252,0.651,1
1620136869.476,-7.029,-4.539,0.976,1
