TimeStamp,X-Axis,Y-Axis,Z-Axis,Class
1620315604.475,-5.573,-1.436,-1.934,1
1620315604.484,-5.363,-1.34,-2.049,1
1620315604.495,-5.037,-1.034,-2.126,1
1620315604.504,-4.271,-0.747,-2.413,1
1620315604.515,-3.754,-0.67,-2.911,1
1620315604.524,-3.505,-0.67,-3.102,1
1620315604.534,-3.601,-0.612,-3.064,1
1620315604.544,-3.658,-0.325,-3.256,1
1620315604.553,-3.715,0.076,-3.313,1
1620315604.565,-4.137,0.249,-3.352,1
1620315604.574,-4.29,-0.153,-4.194,1
1620315604.585,-4.807,-1.13,-4.079,1
1620315604.594,-4.903,-1.589,-3.984,1
1620315604.603,-4.711,-1.704,-4.405,1
1620315604.615,-4.692,-1.992,-4.003,1
1620315604.624,-4.654,-2.221,-3.735,1
1620315604.635,-4.635,-2.221,-3.85,1
1620315604.644,-4.597,-1.857,-3.984,1
1620315604.654,-4.788,-0.957,-3.179,1
1620315604.664,-5.918,-0.095,-2.7,1
1620315604.675,-7.374,-0.325,-3.428,1
1620315604.684,-7.68,-1.149,-2.585,1
1620315604.697,-7.336,-1.781,-0.325,1
1620315604.704,-6.205,-1.666,1.398,1
1620315604.718,-4.999,-0.268,2.988,1
1620315604.727,-4.424,0.919,3.256,1
1620315604.734,-4.022,0.785,3.658,1
1620315604.743,-3.543,0.919,4.175,1
1620315604.753,-3.179,2.202,5.095,1
1620315604.764,-3.16,4.597,6.512,1
1620315604.774,-1.877,5.842,5.42,1
1620315604.784,-2.604,6.014,5.861,1
1620315604.794,-4.482,2.949,7.834,1
1620315604.803,-10.573,-0.191,14.691,1
1620315604.813,-10.554,2.068,18.598,1
1620315604.823,-5.095,3.352,19.824,1
1620315604.833,-12.584,3.696,23.176,1
1620315604.843,-19.805,2.739,25.207,1
1620315604.853,-8.274,3.696,18.311,1
1620315604.863,-15.668,-0.287,12.565,1
1620315604.873,-16.376,-5.516,23.617,1
1620315604.883,-7.508,-6.914,30.321,1
1620315604.895,-4.711,-11.894,12.68,1
1620315604.904,-8.466,-14.902,-14.059,1
1620315604.917,-12.871,-11.052,-26.241,1
1620315604.922,-19.211,2.949,-8.447,1
1620315604.933,-22.467,2.834,8.408,1
1620315604.943,-17.66,-9.347,34.381,1
1620315604.954,-17.545,-3.907,39.208,1
1620315604.963,-25.705,-4.865,38.959,1
1620315604.973,-12.009,2.413,38.059,1
1620315604.985,1.513,18.962,25.111,1
1620315604.994,5.439,29.306,22.966,1
1620315605.005,8.734,15.055,33.788,1
1620315605.014,5.037,5.382,34.899,1
1620315605.023,-4.846,-6.014,29.65,1
1620315605.034,-11.243,-16.032,21.644,1
1620315605.045,-16.511,-14.997,21.74,1
1620315605.053,-12.89,-0.651,15.993,1
1620315605.065,-6.589,3.275,0.593,1
1620315605.074,-1.8,-1.666,-13.637,1
1620315605.085,-1.034,2.011,-19.001,1
1620315605.094,-9.634,3.217,-19.173,1
1620315605.105,-17.583,-0.287,-14.978,1
1620315605.114,-13.752,-0.996,-10.841,1
1620315605.125,-2.604,1.877,-7.814,1
1620315605.133,3.294,1.379,-7.125,1
1620315605.144,5.324,-5.018,-7.68,1
1620315605.154,5.209,-7.431,-2.202,1
1620315605.173,4.118,1.168,3.026,1
1620315605.181,4.118,1.168,3.026,1
1620315605.188,4.903,-4.501,2.164,1
1620315605.198,4.941,-3.639,5.707,1
1620315605.204,3.984,2.394,13.657,1
1620315605.214,5.075,0.249,25.417,1
1620315605.224,4.98,-0.383,26.298,1
1620315605.234,4.309,-0.689,21.318,1
1620315605.244,5.42,-0.574,9.308,1
1620315605.253,3.198,3.237,3.869,1
1620315605.264,-0.708,4.156,2.011,1
1620315605.274,2.336,0.0,0.249,1
1620315605.284,7.202,-2.413,0.383,1
1620315605.294,7.795,-1.8,2.106,1
1620315605.304,4.003,-0.44,3.984,1
1620315605.314,0.747,1.168,8.925,1
1620315605.323,-0.153,2.432,13.886,1
1620315605.334,-1.513,2.011,18.33,1
1620315605.344,-5.075,-0.344,25.705,1
1620315605.354,-12.833,-0.632,38.231,1
1620315605.363,-9.213,10.783,33.864,1
1620315605.374,0.44,7.929,22.353,1
1620315605.384,5.956,3.486,13.216,1
1620315605.395,1.302,-1.398,9.443,1
1620315605.404,3.39,-1.628,4.865,1
1620315605.414,5.095,-1.762,3.026,1
1620315605.423,7.68,-1.628,2.145,1
1620315605.435,7.604,-2.164,2.03,1
1620315605.443,4.309,-2.566,3.122,1
1620315605.454,0.708,-2.604,4.788,1
1620315605.463,-1.417,-2.221,5.554,1
1620315605.474,-1.628,-0.957,5.803,1
1620315605.484,-0.478,1.168,6.608,1
1620315605.493,0.689,2.758,7.048,1
1620315605.504,1.8,2.183,7.202,1
1620315605.513,2.758,0.038,7.527,1
1620315605.525,3.581,-0.689,8.389,1
1620315605.534,2.451,-2.068,9.117,1
1620315605.545,-0.861,-2.719,8.676,1
1620315605.554,-3.332,-1.091,5.976,1
1620315605.565,-2.241,1.398,5.899,1
1620315605.574,0.306,2.796,5.937,1
1620315605.585,2.202,3.275,6.493,1
1620315605.594,1.896,2.432,8.389,1
1620315605.603,0.363,1.187,8.772,1
1620315605.614,-1.359,3.237,9.5,1
1620315605.625,-1.532,6.454,10.285,1
1620315605.634,0.095,7.336,9.577,1
1620315605.643,0.383,7.738,8.945,1
1620315605.655,0.632,9.902,8.274,1
1620315605.663,-0.363,10.496,8.102,1
1620315605.674,-1.091,9.174,7.221,1
1620315605.683,-0.9,7.431,6.091,1
1620315605.693,-0.363,5.669,5.516,1
1620315605.704,0.191,5.209,5.612,1
1620315605.713,-0.689,5.842,7.01,1
1620315605.723,-1.762,6.684,8.83,1
1620315605.733,-2.585,4.711,10.726,1
1620315605.745,-3.198,3.294,12.526,1
1620315605.753,-3.754,4.903,13.331,1
1620315605.764,-3.773,6.129,13.369,1
1620315605.774,-3.352,6.531,12.641,1
1620315605.785,-2.604,6.627,11.511,1
1620315605.794,-2.145,5.88,10.573,1
1620315605.805,-1.857,5.018,9.979,1
1620315605.814,-2.375,4.769,9.098,1
1620315605.825,-2.49,4.156,8.389,1
1620315605.834,-1.819,3.083,7.853,1
1620315605.845,-1.015,1.915,7.374,1
1620315605.854,-0.938,1.474,7.374,1
1620315605.865,-0.842,1.225,7.412,1
1620315605.874,-0.938,1.225,7.604,1
1620315605.884,-1.551,2.777,8.159,1
1620315605.895,-1.934,3.237,8.351,1
1620315605.903,-1.877,3.428,7.949,1
1620315605.915,-1.972,3.601,7.527,1
1620315605.924,-2.03,3.371,7.565,1
