TimeStamp,X-Axis,Y-Axis,Z-Axis,Class
1620137046.975,-18.962,-7.7,4.386,1
1620137046.984,-17.564,-8.389,4.06,1
1620137046.994,-15.955,-8.485,3.026,1
1620137047.005,-14.442,-8.198,2.585,1
1620137047.015,-14.02,-9.002,3.811,1
1620137047.025,-14.442,-11.358,5.458,1
1620137047.034,-14.767,-11.875,6.493,1
1620137047.046,-14.461,-9.577,5.746,1
1620137047.055,-13.35,-5.861,4.673,1
1620137047.064,-12.143,-2.758,3.524,1
1620137047.075,-10.937,-1.398,3.083,1
1620137047.085,-9.615,-0.574,3.179,1
1620137047.095,-8.37,0.249,3.447,1
1620137047.106,-7.412,1.532,3.658,1
1620137047.115,-6.225,2.451,3.62,1
1620137047.125,-5.382,2.106,3.811,1
1620137047.135,-4.98,1.781,4.405,1
1620137047.145,-3.85,2.49,4.98,1
1620137047.155,-4.405,1.934,4.807,1
1620137047.166,-4.635,0.402,3.85,1
1620137047.174,-2.93,-0.383,3.715,1
1620137047.185,-1.149,-0.44,3.754,1
1620137047.194,-0.957,-0.555,3.639,1
1620137047.205,-1.551,-0.421,3.39,1
1620137047.215,-1.8,0.287,3.62,1
1620137047.226,-1.666,0.919,3.409,1
1620137047.237,-1.072,0.478,3.007,1
1620137047.245,-0.536,-0.536,2.47,1
1620137047.255,0.057,-1.494,1.685,1
1620137047.265,0.727,-1.685,1.187,1
1620137047.277,1.302,-1.647,0.574,1
1620137047.286,1.896,-1.647,0.727,1
1620137047.296,2.106,-2.068,0.842,1
1620137047.305,2.394,-2.566,1.187,1
1620137047.315,2.604,-2.796,1.455,1
1620137047.325,2.585,-2.834,1.972,1
1620137047.335,2.202,-3.16,2.604,1
1620137047.346,1.685,-4.022,3.275,1
1620137047.355,1.072,-5.573,2.739,1
1620137047.365,0.976,-6.972,2.566,1
1620137047.375,1.13,-7.872,2.355,1
1620137047.385,0.957,-7.776,1.877,1
1620137047.395,0.727,-6.55,1.551,1
1620137047.405,0.766,-4.673,1.647,1
1620137047.415,0.804,-3.466,1.704,1
1620137047.425,-0.191,-5.037,2.241,1
1620137047.435,-0.785,-8.83,2.777,1
1620137047.445,-1.187,-12.105,3.735,1
1620137047.455,-0.478,-12.622,3.332,1
1620137047.466,0.881,-11.09,1.877,1
1620137047.477,2.739,-8.217,1.379,1
1620137047.495,3.964,-4.175,0.612,1
1620137047.5,3.735,-0.996,-0.478,1
1620137047.506,2.968,0.095,0.44,1
1620137047.514,2.394,-0.766,2.03,1
1620137047.524,1.685,-1.857,3.102,1
1620137047.534,2.221,-1.149,3.62,1
1620137047.545,2.834,0.689,3.045,1
1620137047.554,3.064,1.819,2.47,1
1620137047.565,2.7,1.532,2.719,1
1620137047.575,1.953,0.747,4.826,1
1620137047.585,1.685,0.344,6.34,1
1620137047.594,0.785,-0.67,6.838,1
1620137047.604,-2.049,-5.152,8.657,1
1620137047.614,-5.286,-12.948,10.592,1
1620137047.624,-6.608,-17.315,8.121,1
1620137047.635,-5.593,-13.944,3.007,1
1620137047.644,-4.635,-10.898,1.57,1
1620137047.654,-6.282,-14.653,4.539,1
1620137047.665,-6.301,-20.073,2.873,1
1620137047.675,-3.352,-21.778,1.417,1
1620137047.685,-1.647,-18.33,3.984,1
1620137047.694,-2.26,-11.722,4.003,1
1620137047.705,-3.409,-6.052,-0.114,1
1620137047.714,-4.348,-5.439,-4.577,1
1620137047.726,-2.815,-8.619,-4.807,1
1620137047.735,0.268,-6.972,-6.359,1
1620137047.745,4.003,0.517,-13.81,1
1620137047.754,1.743,-2.298,-23.981,1
1620137047.766,-20.226,-31.547,0.957,1
1620137047.776,-35.837,-39.208,24.134,1
1620137047.785,-36.105,-26.337,31.432,1
1620137047.795,-33.194,-15.074,39.208,1
1620137047.804,-14.04,-35.263,39.208,1
1620137047.815,-1.149,-39.208,39.017,1
1620137047.824,-24.057,-29.44,39.208,1
1620137047.835,-39.228,12.488,6.742,1
1620137047.845,-39.228,36.795,-30.282,1
1620137047.855,-15.17,39.228,-13.082,1
1620137047.866,16.683,32.907,12.048,1
1620137047.874,31.604,9.749,32.983,1
1620137047.884,39.208,-16.76,39.208,1
1620137047.896,33.443,-1.321,23.425,1
1620137047.905,-2.26,39.228,-9.749,1
1620137047.916,-32.217,20.207,-32.37,1
1620137047.925,-10.688,-11.147,-34.286,1
1620137047.935,30.972,-6.071,-30.11,1
1620137047.944,39.208,-9.155,-19.039,1
1620137047.956,22.199,-12.814,-15.649,1
1620137047.966,5.707,-17.698,-11.052,1
1620137047.976,4.367,-9.845,-1.743,1
1620137047.986,8.83,-14.691,-6.857,1
1620137047.995,-6.397,-10.86,-1.532,1
1620137048.005,-11.76,-1.992,6.818,1
1620137048.015,-1.015,0.612,2.145,1
1620137048.025,14.614,-6.953,-16.76,1
1620137048.034,11.971,-7.853,-14.844,1
1620137048.046,-4.941,-1.11,3.409,1
1620137048.054,8.734,-14.423,-6.11,1
1620137048.066,7.125,-7.508,7.125,1
1620137048.075,2.643,-4.271,1.589,1
1620137048.086,-2.547,-7.278,-10.611,1
1620137048.095,2.547,3.811,-4.52,1
1620137048.105,2.815,5.401,-5.937,1
1620137048.115,1.819,1.608,-14.461,1
1620137048.126,6.435,1.494,-12.239,1
1620137048.136,1.896,1.551,-12.66,1
1620137048.145,0.919,1.091,-15.495,1
1620137048.155,-0.019,2.892,-19.997,1
1620137048.165,0.689,2.202,-18.503,1
1620137048.175,2.126,3.447,-13.657,1
1620137048.185,3.581,5.842,-11.933,1
1620137048.194,4.022,4.692,-11.071,1
1620137048.205,4.06,2.47,-10.994,1
1620137048.215,1.992,0.957,-10.247,1
1620137048.225,4.577,3.505,-8.427,1
1620137048.235,1.819,6.742,-11.013,1
1620137048.246,0.555,8.102,-15.246,1
1620137048.256,1.877,4.175,-11.856,1
1620137048.265,2.662,1.915,-10.515,1
1620137048.275,3.064,2.624,-10.956,1
1620137048.285,2.681,2.719,-11.243,1
1620137048.296,2.011,2.03,-12.546,1
1620137048.305,0.651,1.781,-12.756,1
1620137048.315,0.363,1.992,-10.803,1
1620137048.324,0.996,3.179,-8.81,1
1620137048.335,7.834,4.616,-8.676,1
1620137048.345,-1.072,0.555,-5.593,1
1620137048.356,1.685,-0.861,-5.899,1
1620137048.365,5.401,-0.306,-6.627,1
1620137048.375,3.026,-0.076,-8.523,1
1620137048.385,1.647,0.996,-8.772,1
1620137048.396,1.359,1.8,-8.676,1
1620137048.405,1.34,2.049,-8.906,1
1620137048.415,1.608,1.819,-9.213,1
1620137048.425,2.03,1.11,-9.481,1
1620137048.435,2.604,0.191,-10.036,1
1620137048.446,3.122,-0.172,-11.128,1
1620137048.455,3.677,-0.21,-10.803,1
1620137048.466,3.696,-0.229,-9.481,1
1620137048.475,3.505,-0.229,-9.692,1
1620137048.486,3.735,0.555,-9.251,1
1620137048.495,3.562,0.708,-8.849,1
1620137048.505,3.639,0.421,-11.109,1
1620137048.515,4.06,0.747,-12.909,1
1620137048.526,4.348,0.593,-10.439,1
1620137048.536,4.06,0.076,-9.443,1
1620137048.545,3.926,0.0,-9.5,1
1620137048.556,3.696,-0.114,-9.672,1
1620137048.565,3.677,-0.766,-9.653,1
1620137048.575,3.543,-1.091,-9.577,1
1620137048.585,3.869,-1.225,-10.783,1
1620137048.595,4.367,-1.149,-10.458,1
1620137048.604,5.554,0.574,-9.308,1
1620137048.615,5.324,8.715,-6.263,1
1620137048.624,0.708,-1.149,-7.24,1
1620137048.635,1.436,-7.297,-8.638,1
1620137048.645,4.577,-5.286,-8.351,1
1620137048.655,5.918,-3.543,-7.987,1
1620137048.665,5.075,-2.432,-8.178,1
1620137048.674,4.405,-1.953,-8.14,1
1620137048.685,4.922,-2.413,-7.853,1
1620137048.695,5.037,-2.7,-8.523,1
1620137048.707,4.673,-2.509,-9.002,1
1620137048.714,3.964,-2.49,-8.945,1
1620137048.724,3.964,-2.758,-9.059,1
1620137048.734,4.635,-2.739,-10.036,1
1620137048.744,4.673,-2.049,-10.017,1
1620137048.755,7.029,-1.494,-9.232,1
1620137048.765,6.244,-2.566,-9.021,1
1620137048.775,2.566,-5.746,-9.462,1
1620137048.784,2.317,-5.133,-10.017,1
1620137048.795,6.186,-2.815,-10.458,1
1620137048.804,7.355,-1.551,-10.343,1
1620137048.815,7.144,-0.498,-8.044,1
1620137048.824,4.98,-2.03,-4.826,1
1620137048.834,2.7,-4.96,-3.735,1
1620137048.845,3.064,-6.397,-4.29,1
1620137048.855,3.179,0.306,-2.834,1
1620137048.865,5.458,0.574,-3.754,1
1620137048.874,6.589,-3.83,-5.842,1
1620137048.885,6.972,-5.344,-5.918,1
1620137048.895,7.661,-7.24,-6.033,1
1620137048.905,8.676,-9.519,-6.684,1
1620137048.916,8.542,-9.213,-6.876,1
1620137048.924,6.761,-8.37,-6.704,1
1620137048.936,4.941,-9.557,-5.497,1
1620137048.945,4.865,-8.676,-6.11,1
1620137048.955,5.746,-6.052,-5.746,1
1620137048.965,6.799,-4.577,-3.945,1
1620137048.974,7.719,-4.175,-3.217,1
1620137048.985,5.976,-4.462,-0.153,1
1620137048.995,3.045,-5.018,2.93,1
1620137049.006,1.743,-6.205,5.018,1
1620137049.015,1.551,-8.6,8.274,1
1620137049.024,1.934,-13.331,9.979,1
1620137049.034,4.98,-18.177,6.397,1
