TimeStamp,X-Axis,Y-Axis,Z-Axis,Class
1620395618.953,-15.131,-6.895,0.881,1
1620395618.963,-15.763,-5.976,1.474,1
1620395618.974,-16.587,-4.941,2.183,1
1620395618.983,-17.679,-3.792,3.352,1
1620395618.993,-18.177,-2.47,3.754,1
1620395619.003,-17.621,-1.091,3.313,1
1620395619.013,-16.74,-0.574,2.949,1
1620395619.023,-15.036,-0.555,1.245,1
1620395619.034,-13.024,-0.478,-0.478,1
1620395619.043,-11.396,-0.172,-0.881,1
1620395619.053,-10.324,0.593,-1.264,1
1620395619.063,-9.634,1.762,-1.532,1
1620395619.073,-8.504,4.022,-1.857,1
1620395619.083,-7.221,7.087,-2.394,1
1620395619.093,-6.244,9.462,-2.03,1
1620395619.103,-5.305,10.745,-0.632,1
1620395619.113,-4.654,11.205,0.402,1
1620395619.123,-5.19,11.224,1.187,1
1620395619.135,-6.838,10.63,0.823,1
1620395619.143,-8.274,8.638,-1.628,1
1620395619.152,-8.542,5.229,-3.62,1
1620395619.162,-7.451,2.432,-4.826,1
1620395619.172,-5.286,0.708,-6.933,1
1620395619.183,-3.102,-1.091,-7.355,1
1620395619.192,-0.938,-2.126,-5.382,1
1620395619.203,0.0,-2.528,-2.643,1
1620395619.212,-1.091,-3.62,-0.134,1
1620395619.222,-3.256,-6.454,0.363,1
1620395619.233,-4.616,-12.411,-3.141,1
1620395619.242,-3.486,-20.801,-4.424,1
1620395619.253,-0.383,-28.233,-2.355,1
1620395619.263,3.543,-32.389,-1.11,1
1620395619.273,7.546,-32.025,1.819,1
1620395619.283,8.887,-25.092,5.784,1
1620395619.293,7.623,-14.71,6.493,1
1620395619.303,5.995,-5.324,5.937,1
1620395619.313,4.98,4.022,6.742,1
1620395619.323,4.558,14.729,8.083,1
1620395619.333,2.758,23.904,10.113,1
1620395619.343,0.689,29.708,12.201,1
1620395619.353,1.264,34.669,10.266,1
1620395619.363,2.815,35.914,7.661,1
1620395619.373,3.964,32.409,5.516,1
1620395619.385,4.079,27.237,2.93,1
1620395619.393,1.915,21.357,-0.555,1
1620395619.402,-1.781,15.304,-3.811,1
1620395619.412,-5.956,8.925,-8.945,1
1620395619.422,-14.25,-1.302,-4.175,1
1620395619.432,-22.966,-17.89,7.029,1
1620395619.442,-22.41,-24.421,-4.922,1
1620395619.453,-21.299,-29.765,-9.596,1
1620395619.463,-8.466,-32.313,-14.595,1
1620395619.473,-2.988,-38.308,-17.028,1
1620395619.482,-9.73,-39.208,-5.401,1
1620395619.494,-17.698,-39.151,-1.953,1
1620395619.503,-13.101,-38.921,-7.163,1
1620395619.513,-22.084,-19.115,30.991,1
1620395619.523,-36.565,15.917,29.114,1
1620395619.533,-23.425,2.758,8.887,1
1620395619.543,-12.277,-25.321,15.036,1
1620395619.553,-36.948,-39.208,31.623,1
1620395619.564,-39.228,-29.631,29.899,1
1620395619.573,-38.844,16.491,27.639,1
1620395619.583,-36.795,-20.705,23.751,1
1620395619.592,-7.738,-39.208,8.102,1
1620395619.603,32.734,13.618,-8.351,1
1620395619.612,20.82,24.804,-13.791,1
1620395619.625,-12.929,10.477,1.34,1
1620395619.633,-3.179,15.687,13.427,1
1620395619.642,14.174,6.359,18.254,1
1620395619.652,14.959,-8.734,21.567,1
1620395619.662,11.626,-6.435,24.057,1
1620395619.673,5.573,1.877,21.491,1
1620395619.683,1.13,3.141,16.836,1
1620395619.693,-3.964,-3.275,9.481,1
1620395619.703,-14.997,-2.375,-2.853,1
1620395619.713,-24.651,-7.872,-10.975,1
1620395619.723,-16.76,-18.598,-11.09,1
1620395619.733,5.056,-18.311,-7.278,1
1620395619.743,22.199,-11.205,-3.198,1
1620395619.753,21.586,-11.588,0.287,1
1620395619.762,10.458,-10.86,2.375,1
1620395619.773,2.49,-1.838,5.976,1
1620395619.783,-1.953,5.037,10.4,1
1620395619.793,-5.037,3.945,13.752,1
1620395619.803,-6.014,-2.566,9.96,1
1620395619.812,-2.298,-8.332,12.45,1
1620395619.822,6.742,-12.048,5.324,1
1620395619.832,15.419,-16.913,-1.819,1
1620395619.842,17.277,-19.518,-4.501,1
1620395619.853,10.688,-18.464,-2.758,1
1620395619.864,1.513,-14.442,-1.666,1
1620395619.873,-4.309,-9.96,-1.321,1
1620395619.882,-4.654,-7.431,-2.241,1
1620395619.893,-0.689,-6.474,-3.217,1
1620395619.903,3.945,-5.42,-4.233,1
1620395619.913,5.727,-4.348,-5.286,1
1620395619.923,4.328,-5.075,-5.88,1
1620395619.932,1.589,-7.01,-6.646,1
1620395619.942,-0.344,-8.581,-8.466,1
1620395619.953,-1.11,-9.96,-9.711,1
1620395619.963,-1.743,-10.381,-9.653,1
1620395619.973,-2.739,-9.194,-8.868,1
1620395619.983,-3.601,-6.857,-8.236,1
1620395619.993,-3.581,-4.252,-7.719,1
1620395620.003,-2.604,-1.934,-6.78,1
1620395620.013,-1.589,-0.076,-6.608,1
1620395620.023,-1.494,1.168,-6.665,1
1620395620.032,-1.838,2.049,-6.378,1
1620395620.043,-1.532,1.302,-8.696,1
1620395620.053,-2.049,0.287,-6.953,1
1620395620.062,-1.321,-0.402,-8.887,1
1620395620.073,-0.363,-1.245,-8.274,1
1620395620.083,0.919,-1.589,-8.255,1
1620395620.096,2.03,-1.494,-9.577,1
1620395620.106,2.604,-0.344,-10.324,1
1620395620.113,2.911,2.202,-11.53,1
1620395620.122,3.217,5.516,-13.063,1
1620395620.133,3.83,9.328,-15.227,1
1620395620.143,5.133,13.388,-18.349,1
1620395620.152,6.972,16.97,-21.452,1
1620395620.163,8.753,19.25,-23.215,1
