TimeStamp,X-Axis,Y-Axis,Z-Axis,Class
1620315665.474,-8.159,-3.83,2.509,1
1620315665.484,-8.37,-3.639,2.758,1
1620315665.494,-8.044,-3.505,2.892,1
1620315665.504,-8.006,-3.524,2.988,1
1620315665.514,-7.91,-3.39,2.988,1
1620315665.524,-7.565,-3.428,2.949,1
1620315665.535,-7.661,-3.581,2.911,1
1620315665.542,-7.68,-3.601,2.815,1
1620315665.554,-7.661,-3.62,2.719,1
1620315665.563,-7.623,-3.735,2.585,1
1620315665.574,-7.489,-3.869,2.47,1
1620315665.584,-7.527,-4.06,2.432,1
1620315665.595,-7.623,-4.041,2.451,1
1620315665.603,-7.24,-4.175,2.394,1
1620315665.614,-7.316,-4.29,2.413,1
1620315665.624,-7.221,-4.194,2.375,1
1620315665.634,-7.182,-4.175,2.394,1
1620315665.643,-7.163,-4.175,2.336,1
1620315665.653,-7.067,-4.175,2.26,1
1620315665.663,-6.914,-4.137,2.164,1
1620315665.673,-6.78,-4.022,2.106,1
1620315665.684,-6.704,-3.83,2.068,1
1620315665.694,-6.569,-3.581,2.011,1
1620315665.705,-6.34,-3.352,1.915,1
1620315665.715,-6.11,-3.083,1.857,1
1620315665.725,-5.861,-2.719,1.838,1
1620315665.734,-5.554,-2.279,1.838,1
1620315665.745,-5.305,-1.915,1.896,1
1620315665.754,-5.152,-1.513,1.972,1
1620315665.764,-4.98,-1.11,2.011,1
1620315665.773,-4.846,-0.957,2.03,1
1620315665.784,-4.826,-0.536,2.145,1
1620315665.795,-4.846,-0.038,1.953,1
1620315665.805,-4.654,-0.21,1.666,1
1620315665.814,-4.501,-0.478,1.628,1
1620315665.826,-4.367,-0.651,1.589,1
1620315665.834,-4.635,-1.015,2.03,1
1620315665.844,-4.692,-1.13,2.47,1
1620315665.853,-5.458,-0.957,3.294,1
1620315665.864,-5.88,-0.402,3.907,1
1620315665.874,-6.225,0.0,3.773,1
1620315665.885,-6.225,0.612,3.064,1
1620315665.895,-6.033,1.187,2.509,1
1620315665.905,-5.803,1.455,2.126,1
1620315665.914,-5.669,0.842,2.528,1
1620315665.924,-5.937,-0.574,3.773,1
1620315665.934,-6.435,-1.551,5.803,1
1620315665.945,-6.608,-1.838,7.106,1
1620315665.955,-6.34,-2.03,7.067,1
1620315665.964,-5.458,-1.762,6.167,1
1620315665.974,-4.577,-1.053,4.577,1
1620315665.985,-3.869,-0.363,2.413,1
1620315665.994,-3.984,-0.766,1.666,1
1620315666.005,-4.846,-2.068,2.509,1
1620315666.013,-5.746,-2.528,4.558,1
1620315666.023,-6.608,-1.474,5.822,1
1620315666.034,-7.336,0.325,6.646,1
1620315666.043,-7.738,2.681,6.838,1
1620315666.055,-6.723,5.114,4.233,1
1620315666.064,-4.884,5.937,1.034,1
1620315666.075,-3.409,4.233,-1.398,1
1620315666.084,-2.298,1.723,-4.903,1
1620315666.094,-0.593,1.264,-8.715,1
1620315666.104,0.076,1.857,-9.328,1
1620315666.114,-0.804,1.953,-5.899,1
1620315666.124,0.076,3.237,-4.022,1
1620315666.135,3.85,2.834,-1.34,1
1620315666.144,6.205,-1.072,-1.992,1
1620315666.154,-14.135,-27.275,25.36,1
1620315666.164,16.587,-39.208,37.235,1
1620315666.175,4.424,-38.212,38.442,1
1620315666.184,-10.056,-11.224,34.056,1
1620315666.195,-17.947,7.048,16.223,1
1620315666.205,8.121,31.623,-7.565,1
1620315666.216,30.168,39.228,-5.803,1
1620315666.224,-16.07,-10.534,4.922,1
1620315666.233,-23.329,-39.208,-3.888,1
1620315666.244,-18.886,-3.754,9.079,1
1620315666.255,-39.228,15.246,39.208,1
1620315666.264,-39.228,5.995,39.208,1
1620315666.273,-28.501,17.794,38.595,1
1620315666.283,-22.87,-4.788,34.975,1
1620315666.294,-18.598,5.918,10.554,1
1620315666.304,11.013,38.576,-4.328,1
1620315666.314,33.002,36.68,-26.337,1
1620315666.323,36.891,-12.948,-39.228,1
1620315666.334,39.208,-36.374,-26.816,1
1620315666.344,39.208,-19.058,-8.868,1
1620315666.354,35.397,-18.809,12.162,1
1620315666.363,15.821,0.67,14.748,1
1620315666.374,12.009,1.8,8.274,1
1620315666.384,-1.666,-14.538,4.271,1
1620315666.394,-12.929,-11.032,6.761,1
