TimeStamp,X-Axis,Y-Axis,Z-Axis,Class
1620315734.475,-7.91,-3.696,1.608,1
1620315734.484,-7.929,-3.715,1.57,1
1620315734.493,-7.987,-3.715,1.513,1
1620315734.503,-8.102,-3.754,1.513,1
1620315734.514,-8.217,-3.735,1.532,1
1620315734.525,-8.293,-3.658,1.628,1
1620315734.534,-8.332,-3.658,1.781,1
1620315734.545,-8.255,-3.62,1.743,1
1620315734.555,-8.255,-3.639,1.762,1
1620315734.564,-8.236,-3.601,1.877,1
1620315734.574,-8.159,-3.524,1.953,1
1620315734.584,-7.929,-3.524,2.011,1
1620315734.594,-7.642,-3.677,2.03,1
1620315734.606,-7.565,-3.715,1.992,1
1620315734.614,-7.431,-3.62,1.915,1
1620315734.624,-7.278,-3.62,1.877,1
1620315734.633,-7.393,-3.658,1.877,1
1620315734.643,-7.451,-3.562,1.762,1
1620315734.653,-7.355,-3.505,1.532,1
1620315734.663,-7.163,-3.486,1.302,1
1620315734.673,-7.01,-3.447,1.206,1
1620315734.683,-6.857,-3.275,1.13,1
1620315734.693,-6.799,-3.064,1.187,1
1620315734.704,-6.359,-2.892,1.11,1
1620315734.717,-6.378,-2.624,0.842,1
1620315734.723,-6.225,-2.317,0.383,1
1620315734.733,-5.937,-2.068,-0.038,1
1620315734.743,-5.075,-1.455,-0.555,1
1620315734.754,-4.309,-0.996,-0.612,1
1620315734.763,-4.003,-0.517,-0.402,1
1620315734.774,-3.447,0.076,-0.229,1
1620315734.783,-3.16,0.306,0.019,1
1620315734.794,-3.466,0.593,-0.019,1
1620315734.803,-3.715,1.206,-0.612,1
1620315734.813,-4.213,1.379,-0.651,1
1620315734.823,-4.462,0.938,-0.363,1
1620315734.833,-3.907,0.612,-0.976,1
1620315734.845,-2.968,0.44,-1.57,1
1620315734.853,-2.528,0.325,-1.187,1
1620315734.864,-2.413,0.842,-1.149,1
1620315734.874,-2.662,1.034,-0.823,1
1620315734.886,-3.371,0.363,-0.804,1
1620315734.894,-4.156,-0.038,-1.819,1
1620315734.905,-4.462,-0.268,-4.386,1
1620315734.914,-4.846,-1.245,-6.953,1
1620315734.925,-5.382,-3.428,-8.198,1
1620315734.935,-5.822,-5.344,-6.531,1
1620315734.946,-5.133,-4.29,-4.539,1
