TimeStamp,X-Axis,Y-Axis,Z-Axis,Class
1619707956.49,3.696,-20.59,1.034,0
1619707956.5,2.106,-16.204,0.076,0
1619707956.51,1.015,-14.902,-1.704,0
1619707956.519,1.015,-15.534,-2.49,0
1619707956.53,1.264,-14.614,-1.762,0
1619707956.54,0.708,-12.948,-1.762,0
1619707956.551,0.383,-12.086,-2.068,0
1619707956.561,0.67,-10.688,-1.953,0
1619707956.572,0.67,-8.466,-2.221,0
1619707956.581,0.268,-6.914,-2.528,0
1619707956.592,-0.172,-5.956,-2.317,0
1619707956.6,-0.44,-5.363,-2.145,0
1619707956.61,-0.114,-4.654,-1.934,0
1619707956.621,0.057,-4.079,-1.953,0
1619707956.631,-0.057,-4.367,-1.934,0
1619707956.641,0.306,-4.692,-1.992,0
1619707956.651,0.785,-4.328,-2.355,0
1619707956.66,0.747,-3.83,-2.988,0
1619707956.67,0.574,-3.141,-3.524,0
1619707956.68,0.402,-2.394,-2.93,0
1619707956.691,0.153,-2.949,-0.881,0
1619707956.701,0.076,-3.945,1.034,0
1619707956.711,0.459,-4.482,2.49,0
1619707956.721,0.919,-4.118,3.715,0
1619707956.731,0.517,-3.984,4.405,0
1619707956.741,-0.363,-5.075,4.807,0
1619707956.75,-0.612,-6.014,5.286,0
1619707956.76,-0.229,-6.435,5.956,0
1619707956.771,0.785,-6.493,7.087,0
1619707956.78,1.494,-6.627,8.159,0
1619707956.79,1.915,-6.799,8.753,0
1619707956.801,2.394,-6.435,8.581,0
1619707956.81,2.911,-6.052,8.025,0
1619707956.82,3.237,-5.554,6.991,0
1619707956.831,3.409,-5.133,5.842,0
1619707956.84,4.156,-5.918,5.324,0
1619707956.851,5.171,-10.994,8.657,0
1619707956.861,3.715,-13.542,9.807,0
1619707956.871,5.324,-4.252,5.822,0
1619707956.881,4.711,-4.903,0.861,0
1619707956.89,4.252,-11.032,-0.076,0
1619707956.901,3.888,-15.668,-0.727,0
1619707956.911,3.926,-16.97,-0.325,0
1619707956.924,3.83,-14.653,0.402,0
1619707956.933,2.221,-12.392,1.417,0
1619707956.94,2.221,-12.392,1.417,0
1619707956.951,1.972,-12.048,1.608,0
1619707956.96,1.819,-11.052,1.321,0
1619707956.971,1.838,-9.615,0.574,0
1619707956.981,1.436,-9.615,0.421,0
1619707956.991,1.781,-9.653,3.237,0
1619707957.0,1.187,-9.328,2.585,0
1619707957.01,0.938,-9.634,2.49,0
1619707957.021,1.091,-10.956,2.93,0
1619707957.031,1.34,-12.641,2.834,0
1619707957.041,1.417,-14.557,2.968,0
1619707957.05,1.666,-15.227,4.807,0
1619707957.06,2.796,-12.871,6.033,0
1619707957.071,2.815,-10.668,6.11,0
1619707957.081,2.049,-8.542,5.612,0
1619707957.09,1.379,-7.872,5.286,0
1619707957.1,1.359,-8.102,4.884,0
1619707957.112,1.647,-7.68,4.118,0
1619707957.121,1.723,-6.799,3.16,0
1619707957.131,1.857,-6.263,2.336,0
1619707957.14,1.992,-6.493,2.336,0
1619707957.15,2.432,-7.47,2.988,0
1619707957.161,2.949,-8.561,3.352,0
1619707957.171,3.083,-9.423,3.064,0
1619707957.181,3.007,-9.423,2.624,0
1619707957.191,2.7,-9.079,2.26,0
1619707957.201,2.394,-8.408,1.992,0
1619707957.211,2.451,-6.416,1.551,0
1619707957.221,2.202,-4.616,0.919,0
1619707957.231,1.972,-3.466,0.67,0
1619707957.241,2.317,-2.566,0.249,0
1619707957.25,2.604,-2.585,-0.708,0
1619707957.261,2.451,-3.62,-1.302,0
1619707957.27,2.011,-5.018,-1.072,0
1619707957.28,1.819,-6.148,-0.804,0
1619707957.29,1.762,-7.316,-0.057,0
1619707957.301,2.087,-8.791,0.919,0
1619707957.311,2.624,-10.458,1.57,0
1619707957.321,3.332,-12.009,2.509,0
1619707957.33,3.945,-13.657,3.486,0
1619707957.34,4.386,-15.725,3.888,0
1619707957.351,5.018,-17.641,2.949,0
