TimeStamp,X-Axis,Y-Axis,Z-Axis,Velocity
2021-04-21 10:36:57.507,-0.057,-2.049,9.481,2.85
2021-04-21 10:37:01.307,-0.038,-2.03,9.481,1.90
2021-04-21 10:37:01.507,-0.019,-2.049,9.462,0.95
2021-04-21 10:37:02.306,-0.057,-2.03,9.481,0.00
2021-04-21 10:37:02.517,-0.019,-2.049,9.481,0.00
2021-04-21 10:37:02.906,-0.019,-2.03,9.481,1.90
2021-04-21 10:37:03.706,-0.038,-2.049,9.481,1.90
2021-04-21 10:37:04.506,-0.038,-2.049,9.5,1.89
2021-04-21 10:37:05.306,-0.019,-2.03,9.5,2.84
2021-04-21 10:37:05.706,-0.038,-2.049,9.462,3.80
2021-04-21 10:37:05.907,-0.019,-2.049,9.5,0.00
2021-04-21 10:37:06.706,-0.038,-2.03,9.481,0.00
2021-04-21 10:37:07.706,-0.019,-2.049,9.481,0.00
2021-04-21 10:37:08.105,-0.019,-2.049,9.462,1.90
2021-04-21 10:37:09.105,0.0,-2.03,9.481,1.90
2021-04-21 10:37:09.905,0.019,-2.068,9.481,0.95
2021-04-21 10:37:10.905,0.0,-2.049,9.5,0.95
2021-04-21 10:37:11.305,-0.019,-2.03,9.481,0.00
2021-04-21 10:37:11.705,0.0,-2.049,9.481,0.00
2021-04-21 10:37:11.905,-0.019,-2.011,9.481,0.00
2021-04-21 10:37:12.705,0.0,-2.03,9.5,0.95
2021-04-21 10:37:12.905,-0.019,-2.049,9.481,2.84
2021-04-21 10:37:13.106,-0.019,-2.011,9.481,0.95
2021-04-21 10:37:13.705,0.0,-2.03,9.481,0.00
2021-04-21 10:37:13.904,0.0,-2.03,9.481,1.89
2021-04-21 10:37:14.510,0.0,-2.03,9.5,1.90
2021-04-21 10:37:15.904,0.019,-2.049,9.481,0.95
2021-04-21 10:37:16.906,-0.019,-2.03,9.481,0.95
2021-04-21 10:37:17.106,-0.038,-2.03,9.481,0.00
2021-04-21 10:37:17.507,-0.057,-2.049,9.481,2.85
2021-04-21 10:37:17.907,-0.019,-2.03,9.481,2.85
2021-04-21 10:37:18.106,-0.057,-2.049,9.462,2.85
2021-04-21 10:37:19.907,-0.019,-2.049,9.462,0.00
2021-04-21 10:37:20.906,-0.038,-2.03,9.481,1.90
2021-04-21 10:37:21.307,-0.057,-2.049,9.481,1.90
2021-04-21 10:37:21.507,-0.019,-2.049,9.481,0.00
2021-04-21 10:37:22.107,-0.038,-2.03,9.481,0.00
2021-04-21 10:37:24.107,-0.057,-2.03,9.481,0.00
2021-04-21 10:37:24.707,-0.019,-2.049,9.462,0.00
