meanX,meanY,meanZ,maxX,maxY,maxZ,minX,minY,minZ,stdX,stdY,stdZ,varX,varY,varZ,medianX,medianY,medianZ,rmsX,rmsY,rmsZ,corX,corY,corZ,energyX,energyY,energyZ,iqrX,iqrY,iqrZ,madX,madY,madZ,sma,Class
-1.0549e-01,5.1742e-03,-3.7404e-01,8.0829e-01,3.3672e-01,1.0000e+00,-1.0000e+00,-1.0000e+00,2.9123e-02,6.3856e-01,-4.6276e-01,2.8614e-01,3.4605e-01,-8.5077e-01,-1.7161e-01,8.1146e-02,-8.0559e-02,-5.5227e-01,-5.8267e-02,-5.0611e-01,2.3152e-01,-3.6988e-01,1.6970e-01,3.7560e-02,-5.1596e-01,-8.5597e-01,-2.2654e-01,4.6372e-01,-8.0812e-01,-3.1898e-01,2.8344e-01,-8.1148e-01,-3.0187e-01,-5.3151e-01,1
-2.7109e-01,-3.2018e-01,7.4810e-01,1.0000e+00,1.0000e+00,1.0000e+00,-1.0000e+00,-1.0000e+00,-5.5823e-02,8.1807e-01,-3.9119e-01,1.8226e-01,6.5471e-01,-8.0937e-01,-2.9975e-01,-2.6551e-01,-3.4881e-01,6.8723e-01,6.8934e-02,-3.8130e-01,4.7459e-01,-2.7590e-01,-5.0006e-01,-2.6894e-01,-3.8814e-01,-7.8325e-01,9.9599e-02,-2.0225e-01,-7.8092e-01,-1.4273e-01,-2.6672e-02,-7.8751e-01,-1.6756e-01,-3.9463e-01,1
-3.5786e-01,-3.3857e-01,-7.4096e-01,8.9861e-01,1.0000e+00,1.0000e+00,-1.0000e+00,-7.1097e-01,-1.0000e+00,8.5818e-01,-3.8338e-01,1.3678e-01,7.2802e-01,-8.0455e-01,-3.5247e-01,-2.0487e-01,-3.9855e-01,-7.8479e-01,1.2649e-01,-3.6893e-01,1.7661e-01,-2.7502e-01,3.3009e-01,-3.0058e-02,-3.2542e-01,-7.7525e-01,-2.9230e-01,4.4292e-01,-6.9509e-01,-3.8901e-02,3.5456e-01,-6.8291e-01,-4.1731e-02,-3.4463e-01,1
-3.5107e-01,1.5870e-01,6.5510e-01,-2.8167e-01,3.9056e-01,1.0000e+00,-8.6361e-01,-5.4236e-02,-3.7922e-01,1.6925e-01,-6.7597e-01,2.6313e-01,-3.1051e-01,-9.4410e-01,-2.0093e-01,-3.3748e-01,-3.3995e-02,6.8838e-01,-2.8014e-01,-7.1496e-01,4.8234e-01,-3.4173e-01,1.5356e-01,-2.8084e-01,-7.0336e-01,-9.4488e-01,1.1094e-01,-1.6412e-01,-8.2972e-01,-1.0081e-01,-1.9108e-02,-8.2136e-01,1.8223e-03,-6.1569e-01,1
-3.2307e-01,-1.9103e-01,5.3869e-01,4.4868e-01,3.8184e-01,1.0000e+00,-1.0000e+00,-1.0000e+00,-6.3335e-01,4.4955e-01,-3.8015e-01,5.1932e-02,5.5464e-02,-8.0254e-01,-4.4530e-01,-3.7670e-01,-3.4881e-01,4.3717e-01,-1.3367e-01,-4.0054e-01,2.4926e-01,-3.0265e-01,-6.1063e-02,-3.0592e-01,-5.8472e-01,-7.9541e-01,-2.0467e-01,-5.5751e-02,-6.9864e-01,-2.7213e-01,5.9979e-02,-6.8357e-01,-2.3563e-01,-4.8127e-01,1
2.9260e-01,4.9389e-02,3.6991e-01,-1.0015e-01,2.1644e-01,1.7974e-01,4.8328e-01,5.2763e-01,6.4280e-01,-3.1839e-01,-5.9661e-01,-4.8205e-01,-7.6222e-01,-9.1460e-01,-8.6477e-01,3.4282e-01,-3.6542e-01,3.2795e-01,-2.3934e-01,-6.4250e-01,-2.4617e-01,-3.4337e-01,1.7927e-01,3.0104e-01,-6.7228e-01,-9.1868e-01,-7.0084e-01,-3.0354e-01,-7.0502e-01,-5.8188e-01,-5.5772e-01,-7.6200e-01,-5.3923e-01,-6.5493e-01,1
8.4136e-02,-2.8393e-02,7.0188e-01,-1.0015e-01,2.1644e-01,1.7974e-01,4.8328e-01,3.4238e-01,6.4280e-01,-3.7633e-01,-5.4251e-01,-5.2887e-01,-8.0029e-01,-8.9093e-01,-8.8799e-01,1.9856e-02,-3.7094e-01,6.4886e-01,-5.3583e-01,-5.8419e-01,-1.9656e-03,-3.4452e-01,1.8351e-03,2.8416e-01,-8.6323e-01,-8.9401e-01,-4.8597e-01,-7.0783e-01,-6.0014e-01,-6.2775e-01,-6.1624e-01,-6.7657e-01,-6.1604e-01,-6.4733e-01,1
-3.0767e-01,1.2099e-01,8.2371e-01,-4.8138e-02,-8.6691e-02,1.0000e+00,-9.7365e-01,-1.5897e-02,-1.7622e-01,2.9539e-01,-7.0550e-01,1.9101e-01,-1.5541e-01,-9.5349e-01,-2.8938e-01,-2.3161e-01,-4.5080e-02,8.5703e-01,-2.3287e-01,-7.4912e-01,5.2881e-01,-3.3950e-01,1.7065e-01,-2.9735e-01,-6.6722e-01,-9.5551e-01,1.8015e-01,-3.6132e-01,-8.6458e-01,-4.7135e-01,-2.1722e-01,-8.7427e-01,-4.7462e-01,-5.8319e-01,1
-4.1405e-01,-1.4110e-01,6.1028e-01,1.0000e+00,8.9393e-01,1.0000e+00,-1.0000e+00,-1.0000e+00,-2.1635e-01,4.1249e-01,-4.5981e-01,-2.2860e-01,2.6265e-03,-8.4916e-01,-7.0112e-01,-4.7903e-01,-3.4568e-01,6.1972e-01,-9.8518e-02,-4.8733e-01,9.1828e-02,-2.5306e-01,-1.3024e-01,-4.1777e-01,-5.5332e-01,-8.4597e-01,-3.8810e-01,-2.1144e-01,-8.3449e-01,-5.3079e-01,-2.2983e-01,-8.4252e-01,-5.4970e-01,-5.0863e-01,1
-3.0887e-01,-4.8788e-01,9.9532e-03,5.8500e-01,1.0000e+00,1.0000e+00,-7.8546e-01,-9.3920e-01,-1.0000e+00,4.2865e-01,-3.5669e-01,2.8658e-01,2.5498e-02,-7.8761e-01,-1.7105e-01,-3.6959e-01,-4.4037e-01,-1.8371e-01,-1.5301e-01,-2.9718e-01,2.5138e-01,-2.7250e-01,1.2078e-01,-8.2126e-02,-6.0152e-01,-7.2598e-01,-2.0205e-01,1.5138e-01,-7.0888e-01,-6.6935e-01,3.1409e-01,-7.5776e-01,-6.6506e-01,-5.4168e-01,1
