TimeStamp,X-Axis,Y-Axis,Z-Axis
1619707547.19,0.842,-10.094,6.225
1619707547.2,0.996,-9.366,5.88
1619707547.211,0.976,-8.408,5.439
1619707547.221,0.881,-7.814,5.305
1619707547.23,0.842,-7.738,5.324
1619707547.24,0.9,-8.102,5.478
1619707547.25,0.976,-8.638,5.612
1619707547.26,1.053,-9.002,5.669
1619707547.27,1.015,-9.117,5.688
1619707547.281,0.938,-8.657,5.631
1619707547.291,0.861,-8.772,5.746
1619707547.301,1.13,-8.581,5.535
1619707547.31,1.149,-8.447,5.305
1619707547.321,1.149,-8.485,5.229
1619707547.33,1.187,-8.447,5.152
1619707547.341,1.225,-8.447,5.248
1619707547.351,1.264,-8.255,5.209
1619707547.361,1.283,-8.427,5.363
1619707547.37,1.34,-9.155,5.439
1619707547.38,1.474,-9.059,5.286
1619707547.39,1.436,-8.868,5.152
1619707547.4,1.57,-8.849,5.267
1619707547.411,1.781,-8.791,5.324
1619707547.42,1.819,-8.676,5.267
1619707547.431,1.857,-8.542,5.171
1619707547.442,1.877,-8.389,5.114
1619707547.451,1.819,-8.37,4.999
1619707547.46,1.8,-8.389,4.98
1619707547.47,1.762,-8.37,5.19
1619707547.48,1.838,-8.332,5.535
1619707547.49,1.877,-8.236,5.784
1619707547.5,1.762,-8.159,5.918
1619707547.51,1.532,-8.121,5.899
1619707547.521,1.245,-8.217,5.88
1619707547.53,1.053,-8.274,6.033
1619707547.541,0.842,-8.447,6.378
1619707547.551,0.823,-8.83,6.799
1619707547.56,0.919,-9.002,7.106
1619707547.571,1.168,-8.849,7.7
1619707547.58,0.919,-8.715,7.412
1619707547.591,0.612,-8.83,7.106
1619707547.6,0.478,-9.117,6.857
1619707547.61,0.536,-9.921,6.569
1619707547.621,1.206,-10.228,6.263
1619707547.63,1.532,-10.707,6.167
1619707547.641,2.183,-10.209,6.167
1619707547.65,2.355,-9.826,5.42
1619707547.66,2.47,-9.768,4.673
1619707547.67,2.336,-10.554,4.577
1619707547.68,2.432,-11.166,4.884
1619707547.691,2.298,-11.301,4.922
1619707547.7,2.087,-10.937,4.846
1619707547.71,1.857,-10.458,4.616
1619707547.721,1.723,-9.998,4.711
1619707547.73,1.57,-9.557,4.865
1619707547.74,1.494,-9.213,4.865
1619707547.75,1.417,-8.964,4.654
1619707547.76,1.264,-8.696,4.386
1619707547.771,1.187,-8.351,4.52
1619707547.781,0.976,-8.102,4.807
1619707547.791,0.727,-8.351,5.037
1619707547.801,0.804,-8.447,5.229
1619707547.811,0.804,-7.929,5.439
1619707547.822,0.593,-7.565,5.746
1619707547.832,0.134,-7.278,5.822
1619707547.84,-0.153,-6.761,6.416
1619707547.85,0.459,-4.75,8.581
1619707547.861,1.321,-0.153,9.96
1619707547.87,1.436,2.604,10.17
1619707547.881,1.11,-2.355,9.308
1619707547.89,1.34,-8.447,5.535
1619707547.9,0.727,-11.799,3.371
1619707547.912,-0.076,-12.392,2.892
1619707547.92,-0.287,-9.692,2.911
1619707547.931,-0.785,-7.968,4.501
1619707547.94,-0.938,-8.044,5.688
1619707547.95,-1.053,-8.178,5.842
1619707547.961,-1.206,-7.987,5.42
1619707547.97,-1.13,-7.891,5.324
1619707547.98,-1.11,-8.217,5.382
1619707547.99,-1.149,-8.619,5.401
