0.996;-3.064;9.538;2021-05-11 12:08:23.980
0.996;-3.064;9.519;2021-05-11 12:08:23.970
1.015;-3.045;9.519;2021-05-11 12:08:23.960
0.996;-3.045;9.519;2021-05-11 12:08:23.954
0.996;-3.045;9.519;2021-05-11 12:08:23.951
0.996;-3.064;9.519;2021-05-11 12:08:23.940
0.996;-3.064;9.519;2021-05-11 12:08:23.920
0.996;-3.045;9.519;2021-05-11 12:08:23.910
0.996;-3.045;9.519;2021-05-11 12:08:23.901
0.996;-3.064;9.538;2021-05-11 12:08:23.890
0.996;-3.083;9.557;2021-05-11 12:08:23.881
0.976;-3.064;9.519;2021-05-11 12:08:23.870
0.996;-3.045;9.519;2021-05-11 12:08:23.860
0.996;-3.064;9.538;2021-05-11 12:08:23.850
0.976;-3.064;9.538;2021-05-11 12:08:23.841
0.996;-3.064;9.538;2021-05-11 12:08:23.831
0.996;-3.026;9.538;2021-05-11 12:08:23.820
0.976;-3.026;9.538;2021-05-11 12:08:23.810
0.976;-3.026;9.538;2021-05-11 12:08:23.800
1.015;-3.064;9.519;2021-05-11 12:08:23.790
1.053;-3.083;9.5;2021-05-11 12:08:23.780
1.015;-3.102;9.481;2021-05-11 12:08:23.770
0.976;-3.102;9.5;2021-05-11 12:08:23.762
0.976;-3.064;9.557;2021-05-11 12:08:23.750
0.976;-3.045;9.538;2021-05-11 12:08:23.741
0.957;-3.026;9.538;2021-05-11 12:08:23.730
0.957;-3.026;9.538;2021-05-11 12:08:23.720
0.996;-3.026;9.519;2021-05-11 12:08:23.710
1.015;-3.064;9.519;2021-05-11 12:08:23.700
1.034;-3.064;9.519;2021-05-11 12:08:23.690
1.015;-3.064;9.5;2021-05-11 12:08:23.680
1.015;-3.064;9.5;2021-05-11 12:08:23.670
0.976;-3.064;9.519;2021-05-11 12:08:23.661
0.996;-3.026;9.538;2021-05-11 12:08:23.650
0.996;-3.026;9.519;2021-05-11 12:08:23.640
0.996;-3.007;9.538;2021-05-11 12:08:23.630
0.996;-3.026;9.557;2021-05-11 12:08:23.620
0.996;-3.045;9.519;2021-05-11 12:08:23.610
0.996;-3.064;9.519;2021-05-11 12:08:23.600
1.015;-3.064;9.519;2021-05-11 12:08:23.591
1.015;-3.064;9.481;2021-05-11 12:08:23.581
0.957;-3.064;9.538;2021-05-11 12:08:23.571
0.996;-3.064;9.557;2021-05-11 12:08:23.560
0.996;-3.026;9.519;2021-05-11 12:08:23.550
0.976;-3.026;9.538;2021-05-11 12:08:23.540
0.996;-3.026;9.538;2021-05-11 12:08:23.530
1.015;-3.026;9.519;2021-05-11 12:08:23.520
1.015;-3.064;9.519;2021-05-11 12:08:23.510
0.996;-3.064;9.538;2021-05-11 12:08:23.500
0.957;-3.045;9.538;2021-05-11 12:08:23.491
0.957;-3.026;9.538;2021-05-11 12:08:23.481
0.996;-3.026;9.519;2021-05-11 12:08:23.471
0.996;-3.026;9.5;2021-05-11 12:08:23.460
0.996;-3.026;9.538;2021-05-11 12:08:23.450
0.976;-3.045;9.538;2021-05-11 12:08:23.440
0.996;-3.064;9.519;2021-05-11 12:08:23.430
0.996;-3.064;9.519;2021-05-11 12:08:23.421
0.996;-3.064;9.519;2021-05-11 12:08:23.411
1.015;-3.045;9.519;2021-05-11 12:08:23.400
0.996;-3.045;9.538;2021-05-11 12:08:23.390
0.996;-3.026;9.538;2021-05-11 12:08:23.381
0.996;-3.007;9.557;2021-05-11 12:08:23.370
0.996;-3.026;9.538;2021-05-11 12:08:23.361
1.015;-3.045;9.5;2021-05-11 12:08:23.351
1.015;-3.064;9.5;2021-05-11 12:08:23.340
0.996;-3.083;9.519;2021-05-11 12:08:23.331
1.015;-3.083;9.519;2021-05-11 12:08:23.321
1.034;-3.083;9.5;2021-05-11 12:08:23.310
0.996;-3.083;9.5;2021-05-11 12:08:23.304
0.996;-3.083;9.5;2021-05-11 12:08:23.300
0.996;-3.045;9.557;2021-05-11 12:08:23.290
1.034;-3.026;9.557;2021-05-11 12:08:23.270
1.015;-3.007;9.538;2021-05-11 12:08:23.260
0.996;-3.026;9.519;2021-05-11 12:08:23.251
0.996;-3.026;9.538;2021-05-11 12:08:23.240
0.976;-3.064;9.519;2021-05-11 12:08:23.231
0.976;-3.064;9.538;2021-05-11 12:08:23.221
0.996;-3.045;9.519;2021-05-11 12:08:23.211
0.996;-3.026;9.519;2021-05-11 12:08:23.200
0.976;-3.007;9.538;2021-05-11 12:08:23.190
0.976;-3.007;9.557;2021-05-11 12:08:23.180
0.976;-3.026;9.557;2021-05-11 12:08:23.171
0.957;-3.064;9.557;2021-05-11 12:08:23.160
0.996;-3.064;9.519;2021-05-11 12:08:23.150
1.015;-3.045;9.5;2021-05-11 12:08:23.140
0.976;-3.045;9.519;2021-05-11 12:08:23.130
0.976;-3.064;9.538;2021-05-11 12:08:23.120
0.976;-3.064;9.538;2021-05-11 12:08:23.111
0.996;-3.064;9.538;2021-05-11 12:08:23.103
0.976;-3.026;9.538;2021-05-11 12:08:23.102
1.015;-3.026;9.519;2021-05-11 12:08:23.100
0.996;-3.045;9.538;2021-05-11 12:08:23.098
0.996;-3.045;9.519;2021-05-11 12:08:23.096
0.996;-3.026;9.519;2021-05-11 12:08:23.094
0.996;-3.007;9.519;2021-05-11 12:08:23.092
0.976;-3.007;9.557;2021-05-11 12:08:23.087
0.996;-2.988;9.557;2021-05-11 12:08:23.020
0.996;-2.988;9.538;2021-05-11 12:08:23.010
0.957;-3.007;9.557;2021-05-11 12:08:23.000
0.976;-3.026;9.557;2021-05-11 12:08:22.990
1.015;-3.045;9.519;2021-05-11 12:08:22.980
1.015;-3.064;9.5;2021-05-11 12:08:22.970
0.996;-3.064;9.5;2021-05-11 12:08:22.960
0.996;-3.083;9.519;2021-05-11 12:08:22.950
0.996;-3.045;9.538;2021-05-11 12:08:22.940
0.976;-3.007;9.519;2021-05-11 12:08:22.931
0.976;-3.007;9.538;2021-05-11 12:08:22.920
1.034;-3.026;9.519;2021-05-11 12:08:22.910
1.072;-3.083;9.481;2021-05-11 12:08:22.900
1.015;-3.102;9.481;2021-05-11 12:08:22.890
0.957;-3.064;9.519;2021-05-11 12:08:22.880
0.976;-3.026;9.557;2021-05-11 12:08:22.871
0.976;-2.988;9.538;2021-05-11 12:08:22.860
0.976;-2.968;9.557;2021-05-11 12:08:22.851
0.976;-2.968;9.577;2021-05-11 12:08:22.840
0.996;-2.988;9.557;2021-05-11 12:08:22.830
0.996;-3.045;9.519;2021-05-11 12:08:22.820
1.034;-3.122;9.5;2021-05-11 12:08:22.811
1.072;-3.141;9.481;2021-05-11 12:08:22.800
1.034;-3.122;9.5;2021-05-11 12:08:22.790
0.957;-3.045;9.538;2021-05-11 12:08:22.780
0.938;-2.949;9.557;2021-05-11 12:08:22.771
0.976;-2.911;9.557;2021-05-11 12:08:22.761
0.976;-2.949;9.577;2021-05-11 12:08:22.751
