@relation features_normt

@attribute meanX numeric
@attribute meanY numeric
@attribute meanZ numeric
@attribute maxX numeric
@attribute maxY numeric
@attribute maxZ numeric
@attribute minX numeric
@attribute minY numeric
@attribute minZ numeric
@attribute stdX numeric
@attribute stdY numeric
@attribute stdZ numeric
@attribute varX numeric
@attribute varY numeric
@attribute varZ numeric
@attribute medianX numeric
@attribute medianY numeric
@attribute medianZ numeric
@attribute rmsX numeric
@attribute rmsY numeric
@attribute rmsZ numeric
@attribute corX numeric
@attribute corY numeric
@attribute corZ numeric
@attribute energyX numeric
@attribute energyY numeric
@attribute energyZ numeric
@attribute iqrX numeric
@attribute iqrY numeric
@attribute iqrZ numeric
@attribute madX numeric
@attribute madY numeric
@attribute madZ numeric
@attribute sma numeric
@attribute Class {0,1}

@data
0.072013,-0.60999,-0.28947,-0.31389,-0.70107,-0.43766,0.55308,0.19775,0.20247,-0.32228,-0.8182,-0.34806,-0.75458,-0.97993,-0.77529,-0.056287,-0.6156,-0.033728,-0.52059,-0.55051,-0.38143,-0.53737,0.12902,-0.088924,-0.85411,-0.87838,-0.79161,-0.068424,-0.8751,-0.11639,-0.086413,-0.87121,-0.64954,-0.7718,0
0.042424,-0.50119,-0.24921,-0.29068,-0.65671,-0.58752,0.15063,0.14665,0.48117,0.29559,-0.80049,-0.76118,-0.14465,-0.97625,-0.96564,0.36067,-0.52751,-0.30104,-0.21424,-0.61137,-0.78265,-0.40009,0.14151,-0.041026,-0.65076,-0.90597,-0.96864,0.69099,-0.95436,-0.75352,-0.63541,-0.948,-0.78785,-0.75689,0
-0.048614,-0.60242,-0.16276,-0.12175,-0.30516,-0.070422,0.26397,0.10767,0.39297,0.26491,-0.71745,-0.47766,-0.18364,-0.95488,-0.85287,0.14312,-0.81284,-0.26478,-0.27543,-0.50664,-0.50128,-0.33757,0.14894,-0.11098,-0.69824,-0.85632,-0.86068,0.96631,-0.83608,-0.35535,0.21768,-0.91133,-0.48917,-0.62031,0
-0.37424,-0.63286,-0.14556,-0.26192,-0.57059,-0.38189,-0.16147,-0.39681,0.42543,0.094276,-0.65769,-0.59669,-0.38383,-0.93533,-0.90973,-0.49204,-0.58904,-0.12283,-0.30322,-0.45434,-0.61109,-0.10129,0.029996,-0.12487,-0.71867,-0.82767,-0.91186,0.13661,-0.83294,-0.60767,0.25082,-0.83298,-0.59281,-0.70252,0
0.17699,-0.65073,0.12662,-0.29521,-0.51793,-0.43663,0.62034,-0.042517,0.54342,-0.47462,-0.72849,-0.85687,-0.84835,-0.95811,-0.98607,0.20102,-0.61777,0.13892,-0.45076,-0.4836,-0.63917,-0.77608,-0.31956,0.11263,-0.81531,-0.84401,-0.92308,-0.22498,-0.79123,-0.85124,-0.17085,-0.74179,-0.86493,-0.75946,0
-0.4074,-0.50706,0.2403,-0.32095,-0.34647,-0.26581,-0.002184,0.080962,0.50236,-0.044387,-0.70321,-0.70183,-0.52583,-0.95054,-0.9485,-0.55162,-0.5196,0.28361,-0.3469,-0.55262,-0.46921,-0.014916,-0.2711,-0.23402,-0.74936,-0.87939,-0.84355,-0.16788,-0.74588,-0.78219,-0.19269,-0.7429,-0.77993,-0.70286,0
0.31881,-0.52882,0.28963,-0.3273,-0.60145,-0.52584,0.8595,0.24274,0.52494,-0.90451,-0.85528,-0.81757,-0.99224,-0.98665,-0.97876,0.29316,-0.60605,0.30795,-0.31191,-0.61787,-0.47832,-0.84886,-0.423,0.36166,-0.72492,-0.90871,-0.84852,-0.87643,-0.91592,-0.83689,-0.85322,-0.91003,-0.84611,-0.62922,0
0.065724,-0.59605,0.37853,-0.28926,-0.59009,-0.11768,0.28025,0.16212,0.63732,-0.2633,-0.81011,-0.69669,-0.71225,-0.97829,-0.94686,0.10175,-0.64249,0.33725,-0.49862,-0.55615,-0.35095,-0.51092,-0.55323,0.11181,-0.84239,-0.88108,-0.77185,-0.21223,-0.88486,-0.66746,-0.15415,-0.87777,-0.71041,-0.70077,0
-0.63093,-0.33259,-0.063033,-0.56307,-0.52776,-0.43587,-0.17854,0.45591,0.32727,-0.38485,-0.84086,-0.6296,-0.7958,-0.9842,-0.92302,-0.64379,-0.42566,0.004556,-0.19771,-0.73421,-0.61442,0.010486,0.030907,-0.24691,-0.63734,-0.95105,-0.91323,-0.58379,-0.8751,-0.59911,-0.50756,-0.87428,-0.60947,-0.78459,0
0.235,-0.12642,0.57333,-0.18433,-0.36328,-0.016537,0.49246,0.1945,0.63248,-0.40016,-0.79674,-0.67929,-0.80531,-0.97543,-0.9411,0.34882,-0.30515,0.4965,-0.34481,-0.80267,-0.17244,-0.48283,-0.080651,0.51952,-0.74793,-0.97001,-0.63818,-0.23309,-0.93472,-0.60746,-0.82099,-0.92833,-0.7983,-0.73693,0
