TimeStamp,X-Axis,Y-Axis,Z-Axis,Velocity,Class
10:48:57.842,-1.494,8.945,14.691,0.0,NotFall
10:48:57.850,-1.494,8.945,14.691,0.0,NotFall
10:48:57.857,-1.494,8.945,14.691,0.0,NotFall
10:48:57.864,-1.494,8.945,14.691,0.0,NotFall
10:48:57.871,-1.494,8.945,14.691,0.0,NotFall
10:48:57.879,-1.494,8.945,14.691,0.0,NotFall
10:48:57.886,-1.494,8.945,14.691,0.0,NotFall
10:48:57.893,-1.494,8.945,14.691,0.0,NotFall
10:48:57.900,-1.494,8.945,14.691,0.0,NotFall
10:48:57.908,-1.494,8.945,14.691,0.0,NotFall
10:48:57.914,-1.494,8.945,14.691,0.0,NotFall
10:48:58.086,-1.494,8.945,14.691,0.0,NotFall
10:48:58.092,-1.494,8.945,14.691,0.0,NotFall
10:48:58.097,-1.494,8.945,14.691,0.0,NotFall
10:48:58.103,-1.494,8.945,14.691,0.0,NotFall
10:48:58.114,-1.494,8.945,14.691,0.0,NotFall
10:48:58.120,-1.494,8.945,14.691,0.0,NotFall
10:48:58.127,-1.494,8.945,14.691,0.0,NotFall
10:48:58.133,-1.494,8.945,14.691,0.0,NotFall
10:48:58.139,-1.494,8.945,14.691,0.0,NotFall
10:48:58.145,-3.524,-19.901,6.933,64390.0,NotFall
10:48:58.150,5.861,-11.454,11.435,1116.7,NotFall
10:48:58.351,5.861,-11.454,11.435,0.0,NotFall
10:48:58.358,5.861,-11.454,11.435,0.0,NotFall
10:48:58.363,5.861,-11.454,11.435,0.0,NotFall
10:48:58.368,5.861,-11.454,11.435,0.0,NotFall
10:48:58.374,5.861,-11.454,11.435,0.0,NotFall
10:48:58.390,5.861,-11.454,11.435,0.0,NotFall
10:48:58.395,5.861,-11.454,11.435,0.0,NotFall
10:48:58.400,-2.164,14.289,10.822,28508.33,NotFall
10:48:58.406,-5.554,-11.109,6.282,41660.0,NotFall
10:48:58.415,-0.478,8.447,7.776,1555.12,NotFall
10:48:58.582,2.375,-10.094,5.305,1315.87,NotFall
10:48:58.720,0.21,3.658,7.01,759.54,NotFall
10:48:58.896,-1.57,-0.938,10.573,142.79,NotFall
10:48:59.093,-0.344,-3.198,8.638,149.95,NotFall
10:48:59.291,0.134,-0.574,9.998,223.1,NotFall
10:48:59.491,0.612,-2.662,10.285,66.48,NotFall
10:48:59.690,-1.225,3.773,10.611,246.2,NotFall
10:48:59.890,-1.781,-10.803,8.925,840.9,NotFall
10:49:00.092,-0.249,3.409,10.554,864.33,NotFall
10:49:00.290,-0.938,-8.121,11.55,561.15,NotFall
10:49:00.492,-4.386,6.799,12.871,642.86,NotFall
10:49:00.690,-2.988,-5.305,12.909,533.4,NotFall
10:49:00.890,-1.072,2.758,10.937,398.36,NotFall
10:49:01.092,-3.371,-6.397,12.718,469.56,NotFall
10:49:01.297,0.191,-1.398,7.987,197.42,NotFall
10:49:01.491,-1.149,3.352,8.504,194.41,NotFall
10:49:01.694,-0.249,-6.857,5.918,600.76,NotFall
10:49:01.891,0.076,1.302,10.668,661.7,NotFall
10:49:02.093,2.643,-10.592,11.377,430.9,NotFall
10:49:02.292,0.574,0.21,11.224,429.0,NotFall
10:49:02.492,-2.413,2.451,9.557,120.05,NotFall
10:49:02.693,2.394,-6.359,6.78,340.7,NotFall
10:49:02.891,1.781,-4.635,8.523,140.59,NotFall
10:49:03.094,1.321,-3.007,8.925,80.1,NotFall
10:49:03.290,1.513,-3.907,8.906,36.35,NotFall
10:49:03.490,1.321,-3.811,8.906,4.78,NotFall
10:49:03.690,1.666,-4.922,8.638,51.96,NotFall
10:49:03.890,1.379,-4.137,8.772,31.6,NotFall
10:49:04.090,1.13,-4.616,8.657,42.15,NotFall
10:49:04.290,1.34,-4.52,9.079,36.4,NotFall
10:49:04.490,1.628,-3.964,8.178,2.85,NotFall
10:49:04.690,1.245,-3.696,9.021,36.4,NotFall
10:49:04.890,1.225,-4.137,8.887,29.6,NotFall
10:49:05.090,1.321,-4.175,8.83,0.05,NotFall
