TimeStamp,X-Axis,Y-Axis,Z-Axis,Velocity,Class
12:03:05.105,-1.896,-15.38,7.929,1501.65,NotFall
12:03:05.305,-5.803,7.795,11.664,1150.15,NotFall
12:03:05.506,-4.884,-2.011,10.094,384.45,NotFall
12:03:05.777,-3.754,-1.685,8.81,13.44,NotFall
12:03:05.905,-1.436,8.542,7.834,578.45,NotFall
12:03:06.105,-0.9,0.747,8.293,340.0,NotFall
12:03:06.305,-3.601,12.833,5.65,337.1,NotFall
12:03:06.506,-2.624,-17.736,5.286,1497.8,NotFall
12:03:06.705,-4.788,18.675,6.263,1761.2,NotFall
12:03:06.907,1.781,-12.699,4.482,1335.98,NotFall
12:03:07.105,-3.256,20.456,9.117,1637.65,NotFall
12:03:07.305,-1.264,-11.224,4.884,1687.61,NotFall
12:03:07.505,-2.49,12.526,4.635,1113.75,NotFall
12:03:07.705,-4.846,-4.731,6.148,701.55,NotFall
12:03:07.963,-0.67,12.411,5.727,1482.06,NotFall
12:03:08.105,-4.941,1.245,8.236,643.18,NotFall
12:03:08.305,-0.67,7.336,6.474,430.0,NotFall
12:03:08.505,-2.643,-7.508,8.676,730.75,NotFall
12:03:08.705,-1.551,11.052,7.661,931.85,NotFall
12:03:08.906,-2.93,-8.676,6.071,1134.85,NotFall
12:03:09.106,-2.183,13.791,8.676,1290.95,NotFall
12:03:09.306,-4.731,-9.462,7.508,1355.23,NotFall
12:03:09.505,0.996,-0.9,11.511,914.6,NotFall
12:03:09.705,-1.034,0.612,7.872,206.82,NotFall
12:03:09.905,3.83,-10.783,7.048,273.42,NotFall
12:03:10.175,-2.624,0.306,11.128,665.27,NotFall
